// rate library for f01: HAbstraction reaction
// original from rate library.txt, CDW 03/08/01
// SR and JS rename some nodes according to the tree and dictionary correction, Nov., 20, 2002
// JS, comment out 10th, change XH in 23 from C/Cd/H3 to C/H3/Cd
// JS, remove CO_birad to form a new family later: CO + RH -> HCO + R.  Aug, 26, 2003

// JS, define key word for format of the rate: either Arrhenius or Arrhenius_EP
Arrhenius_EP

// Catherina Wijaya thesis, pg 151 -154.

//f01_intermolecular_HA
//No.	XH			Y_rad				Temp.		A			n		a		E0		DA		Dn		Da		DE0		Rank	Comments
0.   X_H_or_Xrad_H  Y_rad_birad			300-1500	1E+05		0		0		10		0		0		0		0		0		Default
1.		X_H			Y_rad_birad			300-1500	1E+05		0		0		10		0		0		0		0		0		Default
2.		X_H			H_rad				300-1500	2.4E+08		1.5		0.65	9.4		0		0		0		0		5		Dean, A. M. [118]
3.		X_H			O_atom_triplet		300-1500	1.7E+08		1.5		0.75	6.6		0		0		0		0		5		Dean, A. M. [118]
4.		X_H			O_pri_rad			300-1500	1.2E+06		2.0		0.50	10.1	0		0		0		0		5		Dean, A. M. [118]
5.		X_H			O_sec_rad			300-1500	1.4E+04		2.69	0.60	11.3	0		0		0		0		5		Dean, A. M. [118]
6.		X_H			C_methyl			300-1500	8.1E+05		1.87	0.65	13.0	0		0		0		0		5		Dean, A. M. [118]
7.		C/H/Cs3		C_rad/Cs3			300-1500	1.30E-01	3.71	0		6.85	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
8.		C/H2/NonDeC	C_rad/Cs3			300-1500	1.26E+00	3.55	0		8.31	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
9.		C/H3/Cs		C_rad/Cs3			300-1500	2.85E+00	3.62	0		11.20	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
10.		C/H/Cs3		C_rad/H/NonDeC		300-1500	5.58E+01	3.01	0		7.34	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
11.		C/H2/NonDeC	C_rad/H/NonDeC		300-1500	1.52E+01	3.19	0		10.31	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
12.		C/H3/Cs		C_rad/H/NonDeC		300-1500	4.71E+01	3.23	0		12.27	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
13.		C/H/Cs3		C_rad/H2/Cs			300-1500	4.22E+03	2.51	0		8.06	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
14.		C/H2/NonDeC	C_rad/H2/Cs			300-1500	1.54E+03	2.66	0		10.10	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
15.		C/H3/Cs		C_rad/H2/Cs			300-1500	6.59E+02	2.71	0		12.92	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
16.		C/H/Cs3		C_methyl			300-1500	5.74E+05	1.83	0		6.94	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
17.		C/H2/NonDeC	C_methyl			300-1500	1.45E+06	1.77	0		8.53	0		0		0		0		2		Sumathy CBS-Q calculations. Rate expression per H atom.
