//Kinetics from:													
//An Ab Initio G3-Type/Statistical Theory Study of the Formation of Indene in Combustion													
//Flames. II. The Pathways Originating from Reactions of Cyclic C5 SpeciessCyclopentadiene													
//and Cyclopentadienyl Radicals													
//V. V. Kislov‡ and A. M. Mebel*													
//Department of Chemistry and Biochemistry, Florida International UniVersity, Miami, Florida 33199"													
//ReceiVed: September 17, 2007; In Final Form: October 29, 2007"													
//JJ. Phys. Chem. A 2008, 112, 700-716"													
													
//level of theory:Ab initio G3(MP2,CC)//B3LYP"													
													
Unit:													
A: mol/cm3/s													
E: kcal/mol													
													
//species names are the ones used in the paper and in the SI of the paper.													
//A43 replaced by A20, because diastereomers!"													
//A11 replaced by A11, because diastereomers!"													
//A21 replaced by A1, identical"													
//A22 replaced by A2, identical"													
//A23 replaced by A3, identical"													
//A26 replaced by A9, identical"													
//A27 replaced by A10, identical"													
//A28 replaced by A13, identical"													
//A29 replaced by A17, identical"													
//A30 replaced by A19, identical"													
//A34 replaced by A16, identical"													
//A44 replaced by A32, identical"													
//A45 replaced by A33, identical"													
//A46 replaced by A35, identical"													
//A50 replaced by A18, identical"													
//A51 replaced by A39, identical"													
//A52 replaced by A38, identical"													
													
Reactions:													
													
	A0	=	A1	2.00E+11	0.10437577	16.33645349			0	0	0		
//	A1	=	A0	4.81E+13	0.342416505	22.68947632			0	0	0		
//	A0	=	A20	2.28E+11	0.079423246	28.15249097			0	0	0		
//	A20	=	A0	1.31E+13	0.28214211	16.18081368			0	0	0		
	A0	=	A20	1.96E+11	0.074926791	27.94813968			0	0	0		
//	A20	=	A0	1.68E+13	0.33780944	15.79986			0	0	0		
	A1	=	A2	7.64E+12	0.547637287	49.78540232			0	0	0		
//	A2	=	A1	6.23E+12	0.624562869	35.15085554			0	0	0		
	A2	=	A3	3.16E+13	0.559652552	41.54767776			0	0	0		
//	A3	=	A2	4.02E+11	0.180471818	39.54353643			0	0	0		
	A2	=	A9	7.12E+12	0.222900243	13.22948285			0	0	0		
//	A9	=	A2	9.70E+12	0.102235631	5.44535596			0	0	0		
	A3	=	A4	2.40E+12	0.514288986	28.16259673			0	0	0		
//	A4	=	A3	1.49E+13	0.708482495	52.5930576			0	0	0		
	A3	=	A5	1.46E+12	0.532517552	27.70063311			0	0	0		
//	A5	=	A3	7.98E+12	0.709865986	58.69698915			0	0	0		
	A3	=	A6	2.42E+12	0.084000371	12.78480648			0	0	0		
//	A6	=	A3	1.90E+13	0.322003049	16.61255829			0	0	0		
	A4	=	A5	9.86E+12	0.524071455	38.69399054			0	0	0		
//	A5	=	A4	8.66E+12	0.509497115	45.25395256			0	0	0		
	A5	=	IND	+	CH3	4.95E+13	0.494444441	23.63675647	0	0	0		
//	IND	+	CH3	=	A5	2653042288	2.888750239	9.980158383	0	0	0		
	A6	=	A7	9.43E+12	0.232639004	18.97611137			0	0	0		
//	A7	=	A6	2.19E+12	0.200608083	16.6665264			0	0	0		
	A7	=	A8	+	H	3.03E+12	0.918555963	30.17347186	0	0	0		
//	A8	+	H	=	A7	8.28E+11	1.536351282	6.944537496	0	0	0		
	A9	=	A10	1.66E+13	0.387327002	22.38217371			0	0	0		
//	A10	=	A9	5.55E+11	0.054875703	20.43145809			0	0	0		
	A10	=	A11	7.89E+11	0.483814702	22.92901488			0	0	0		
//	A11	=	A10	3.16E+12	0.685701253	38.65789231			0	0	0		
	A10	=	A13	6.70E+12	0.486035061	47.06521818			0	0	0		
//	A13	=	A10	1.12E+13	0.683990914	39.55774107			0	0	0		
	A10	=	A17	8.27E+11	0.593648395	70.74522097			0	0	0		
//	A17	=	A10	4.22E+12	0.725972362	84.51037931			0	0	0		
	A11	=	A12	1.30E+13	0.192101882	13.73348198			0	0	0		
//	A12	=	A11	5.33E+12	0.239716114	34.43835776			0	0	0		
	A12	=	IND	+	CH3	4.53E+13	0.485074695	22.0994121	0	0	0		
//	IND	+	CH3	=	A12	1.05E+11	7.451234439	8.132646106	0	0	0		
	A13	=	A11	2.76E+12	0.630923727	37.01296221			0	0	0		
//	A11	=	A13	6.81E+12	0.622848467	61.35074938			0	0	0		
	A13	=	A15	1.05E+13	0.289830351	10.97288078			0	0	0		
//	A15	=	A13	2.84E+12	0.315837177	49.15680182			0	0	0		
	A13	=	A17	2.87E+12	0.693817635	63.92137097			0	0	0		
//	A17	=	A13	8.82E+12	0.622866482	85.20039967			0	0	0		
//commented out because duplicate									0	0	0		
//	A11	=	A12	1.35E+13	0.204168103	14.62705817			0	0	0		
//	A12	=	A11	5.45E+12	0.256559498	34.23936116			0	0	0		
	A15	=	A16	2.96E+12	0.480378397	36.14701746			0	0	0		
//	A16	=	A15	1.67E+13	0.576628222	43.6979114			0	0	0		
	A16	=	A12	2.29E+13	0.402665848	45.0176709			0	0	0		
//	A12	=	A16	1.47E+13	0.328748114	43.22576154			0	0	0		
	A17	=	A18	8.02E+12	0.591893059	42.36724391			0	0	0		
//	A18	=	A17	5.60E+12	0.622424958	39.4824726			0	0	0		
	A17	=	A19	1.10E+13	0.156267422	6.970275862			0	0	0		
//	A19	=	A17	3.69E+12	0.23385314	17.65653419			0	0	0		
	A18	=	A5	1.03E+13	0.194911033	12.18781562			0	0	0		
//	A5	=	A18	4.51E+12	0.275313814	40.03489221			0	0	0		
	A19	=	A5	4.99E+12	0.480255403	18.46643406			0	0	0		
//	A5	=	A19	4.52E+12	0.51618148	32.7390914			0	0	0		
	A20	=	A1	1.08E+12	0.548158711	18.1646215			0	0	0		
//	A1	=	A20	4.59E+12	0.612775398	37.18061627			0	0	0		
	A20	=	A24	5.00E+12	0.521122213	68.89605186			0	0	0		
//	A24	=	A20	1.75E+13	0.724158929	65.17318254			0	0	0		
	A20	=	A31	5.12E+12	0.520969501	68.79460007			0	0	0		
//	A31	=	A20	1.70E+13	0.730646341	65.35800339			0	0	0		
//	A20	=	A38	1.22E+13	0.338152478	45.59555633			0	0	0		
//	A38	=	A20	2.75E+12	0.322572897	30.14912262			0	0	0		
	A20	=	A39	1.20E+13	0.321053566	45.70239209			0	0	0		
//	A39	=	A20	2.98E+12	0.316874203	30.55429529			0	0	0		
//	A1	=	A2	8.55E+12	0.551926619	51.1153591			0	0	0		
//	A2	=	A1	5.83E+12	0.625421101	35.24881529			0	0	0		
//	A2	=	A3	2.12E+13	0.481795621	25.27752673			0	0	0		
//	A3	=	A2	4.47E+11	0.108102201	24.16073863			0	0	0		
//	A2	=	A9	5.92E+12	0.229327666	16.51514576			0	0	0		
//	A9	=	A2	9.48E+12	0.110834195	8.776037769			0	0	0		
//	A3	=	A6	1.96E+12	0.099028703	7.252286319			0	0	0		
//	A6	=	A3	1.59E+13	0.319464279	14.25912113			0	0	0		
//	A3	=	A4	7.17E+12	0.537041034	32.8994419			0	0	0		
//	A4	=	A3	3.13E+13	0.703944149	57.08212441			0	0	0		
	A24	=	A2	7.87E+12	0.763322248	68.61701756			0	0	0		
//	A2	=	A24	6.64E+12	0.690668977	75.49579838			0	0	0		
//	A6	=	A7	1.64E+13	0.247286165	16.76744349			0	0	0		
//	A7	=	A6	2.60E+12	0.205883616	10.92813289			0	0	0		
//	A9	=	A10	1.96E+13	0.447398711	30.61009876			0	0	0		
//	A10	=	A9	1.16E+12	0.036618984	12.58586863			0	0	0		
//	A10	=	A13	7.41E+12	0.490892135	46.90659028			0	0	0		
//	A13	=	A10	1.05E+13	0.692242769	39.23097676			0	0	0		
//	A10	=	A17	1.81E+12	0.525202029	65.83167473			0	0	0		
//	A17	=	A10	4.70E+12	0.665927238	71.56769986			0	0	0		
//	A13	=	A17	1.99E+12	0.62762646	36.8677915			0	0	0		
//	A17	=	A13	3.68E+12	0.563897213	50.28332745			0	0	0		
//	A17	=	A18	6.83E+12	0.555305258	24.21054011			0	0	0		
//	A18	=	A17	5.07E+12	0.647499554	45.90646689			0	0	0		
//	A17	=	A19	9.50E+12	0.20714495	12.40365424			0	0	0		
//	A19	=	A17	4.24E+12	0.334372682	48.11778543			0	0	0		
//	A19	=	A5	5.90E+12	0.470768234	18.90124464			0	0	0		
//	A5	=	A19	4.31E+12	0.515165302	32.82629312			0	0	0		
	A31	=	A32	8.07E+12	0.763028264	65.43002838			0	0	0		
//	A32	=	A31	5.50E+12	0.65101596	78.24866089			0	0	0		
