//Thermo Library for Sulfur Compounds
//Last Updated 11/15/2012 by cclass
//
//Note: RMG database does not include cyclic sulfide formation or most tautomerization reactions.
//
//Unless othewise noted in "Comments," all values are from QM calculations (CBS-QB3 with 1D-HR corrections).
//Uncertainties estimated at 1.00, unless experimental uncertainty available.
//
//References
//[1] Good, W.D. et al. J. Phys. Chem., 1961, 65, 2229-2231.
//[2] McCullough, J.P. et al. J. Am. Chem. Soc., 1957, 79, 561-566.
//[3] Hubbard, W.N.; Waddington, G. Rec. Trav. Chim. Pays/Bas, 1954, 73, 910.
//[4] Hubbard, W.N. et al. J. Phys. Chem., 1958, 62, 614-617.
//[5] Voronkov, M.G. et al. Dokl. Phys. Chem. (Engl. Transl.), 1989, 307, 650-653.
//[6] Scott, D.W. et al. J. Chem. Phys., 1962, 36, 406-412.
//[7] Ruscic, B.; Berkowitz, J., J. Chem. Phys., 1993, 98, 2568-2579.
//[8] Roy, M.; McMahon, T.B. Org. Mass Spectrom., 1982, 8, 392-395.
//[9] Butler, J.J.; Baer, T., Org. Mass Spectrom., 1983, 18, 248-253.
//[10] Chase, M.W., Jr., NIST-JANAF Thermochemical Tables, Fourth Edition, 
//	J. Phys. Chem. Ref. Data, Monograph 9, 1998, 1-1951.
//[11] Alfassi, Z.B., S-centered radicals. 1999.
//[12] Roux, M.V. et al. J. Phys. Chem., 2008, 37, 1855-1996
//
//H298 in kcal/mol, Rest in cal/molK										
//Name	H298	S298	Cp300	Cp400	Cp500	Cp600	Cp800	Cp1000	Cp1500	dH	dS	dCp	Comments
CS2	27.95	56.88	10.93	11.87	12.55	13.05	13.74	14.17	14.72	1.00	1.00	1.00	"All from [10]"
CH2CS	46.77	60.69	13.05	14.81	16.24	17.42	19.26	20.64	22.79	1.00	1.00	1.00	
H2S	-4.90	49.18	8.18	8.49	8.89	9.31	10.16	10.93	12.30	1.00	1.00	1.00	"All from [10]"
H2S2	3.40	60.38	11.86	13.23	14.22	14.99	16.10	16.86	17.86	1.00	1.00	1.00	
H2S3	6.41	74.73	17.13	18.90	20.16	21.12	22.42	23.17	23.85	1.00	1.00	1.00	
CH3SH	-5.46	61.08	12.05	13.88	15.68	17.35	20.17	22.34	25.75	0.14	1.00	1.00	"H298 from [1]"
CH3SCH3	-8.96	69.68	17.91	21.13	24.08	26.61	30.70	33.90	39.27	0.48	1.00	1.00	"H298 from [5]"
C2H3SC2H3	25.33	81.43	25.45	30.48	34.38	37.45	42.10	45.58	51.21	0.96	1.00	1.00	"H298 from [5], strong disagreement w/ QM"
C2H3SC2H	83.70	77.79	25.45	29.27	31.82	33.75	36.70	38.99	42.86	1.00	1.00	1.00	
C2H3SH	19.24	68.45	16.09	18.96	21.25	23.08	25.89	28.01	31.48	1.00	1.00	1.00	
CH3SC2H3	14.77	75.19	22.30	26.11	29.41	32.19	36.61	40.00	45.51	1.00	1.00	1.00	
CH3SC2H	57.50	72.66	19.53	22.56	25.00	27.02	30.22	32.69	36.71	1.00	1.00	1.00	
HCSSH	25.68	66.82	14.42	16.28	17.71	18.84	20.54	21.76	23.52	1.00	1.00	1.00	
