OUTPUT for PDEP NETWORK via CHEMDIS-RMG (Chebyshev-polynomial format)
CHEMACT case, input channel      SPC5 + SPC5         
Temperature range
   300.0  3000.0
Pressure range
     0.1   100.0
ISOMER      SPC57               
    0.12234773E+02    0.23397175E+00   -0.20413067E-01   -0.13423720E-02
    0.86497298E+00   -0.44031782E+00    0.35931887E-01    0.29582368E-02
   -0.55275970E+00    0.36490142E+00   -0.23114790E-01   -0.35495343E-02
    0.38862915E+00   -0.26123075E+00    0.70814180E-02    0.39178177E-02
   -0.25185346E+00    0.15373061E+00    0.68101584E-02   -0.35595004E-02
    0.13843489E+00   -0.63500616E-01   -0.14875700E-01    0.23471657E-02
   -0.55647377E-01    0.26064324E-02    0.16377546E-01   -0.64976294E-03
PRODUCT     SPC301 + SPC6       
   -0.85153587E+01   -0.11662083E+01   -0.24716100E-01   -0.24875145E-02
   -0.10894010E+02   -0.60173129E+00    0.39018686E-01    0.48510219E-02
    0.80814223E+00    0.43048963E+00   -0.13448173E-01   -0.43142052E-02
    0.60665986E+00   -0.21939118E+00   -0.13673982E-01    0.30930000E-02
   -0.56002548E+00    0.40689376E-01    0.28824122E-01   -0.12359378E-02
    0.24645083E+00    0.59856944E-01   -0.26126408E-01   -0.72979065E-03
   -0.25820065E-01   -0.79176636E-01    0.99786186E-02    0.21025430E-02
PRODUCT     SPC302 + SPC13      
    0.14276507E+01   -0.11775306E+01   -0.24255527E-01   -0.23031769E-02
   -0.97156707E+01   -0.58433174E+00    0.38801920E-01    0.45777824E-02
    0.10896935E+01    0.42594626E+00   -0.14807520E-01   -0.42991442E-02
    0.51555246E+00   -0.22840664E+00   -0.11087072E-01    0.34023517E-02
   -0.51179153E+00    0.57098887E-01    0.26388129E-01   -0.17716320E-02
    0.22427158E+00    0.45192285E-01   -0.25354211E-01   -0.22424135E-03
   -0.10618464E-01   -0.73127569E-01    0.11559343E-01    0.19100068E-02
PRODUCT     SPC126 + SPC10      
    0.29569299E+01   -0.11788590E+01   -0.24200190E-01   -0.22820364E-02
   -0.88158745E+01   -0.58227689E+00    0.38773720E-01    0.45459221E-02
    0.91227697E+00    0.42537138E+00   -0.14964775E-01   -0.42955192E-02
    0.57479224E+00   -0.22940475E+00   -0.10782970E-01    0.34345005E-02
   -0.53393540E+00    0.58978022E-01    0.26097137E-01   -0.18296373E-02
    0.23312221E+00    0.43472389E-01   -0.25255124E-01   -0.16722848E-03
   -0.14020910E-01   -0.72361298E-01    0.11737207E-01    0.18840787E-02
PRODUCT     SPC303 + SPC6       
   -0.85855123E+01   -0.11662395E+01   -0.24715462E-01   -0.24867551E-02
   -0.10892475E+02   -0.60168361E+00    0.39018939E-01    0.48499827E-02
    0.81176368E+00    0.43047778E+00   -0.13451856E-01   -0.43143677E-02
    0.60759955E+00   -0.21941708E+00   -0.13667643E-01    0.30944660E-02
   -0.55887024E+00    0.40735542E-01    0.28818228E-01   -0.12380804E-02
    0.24649596E+00    0.59816636E-01   -0.26124460E-01   -0.72804386E-03
   -0.26036039E-01   -0.79161962E-01    0.99823271E-02    0.21021125E-02
PRODUCT     SPC297 + SPC6       
   -0.83025578E+01   -0.11687677E+01   -0.24612837E-01   -0.24445816E-02
   -0.10164889E+02   -0.59781449E+00    0.38972376E-01    0.47882101E-02
    0.77166499E+00    0.42951386E+00   -0.13759222E-01   -0.43135799E-02
    0.62709475E+00   -0.22150180E+00   -0.13087563E-01    0.31698372E-02
   -0.56222479E+00    0.44454012E-01    0.28277515E-01   -0.13652636E-02
    0.24830977E+00    0.56543033E-01   -0.25961370E-01   -0.61128320E-03
   -0.24869543E-01   -0.77879955E-01    0.10346210E-01    0.20636595E-02
PRODUCT     SPC5 + SPC5         
    0.35722275E+01   -0.11786962E+01   -0.24207545E-01   -0.22848668E-02
   -0.82770987E+01   -0.58252855E+00    0.38778140E-01    0.45502442E-02
    0.76959019E+00    0.42544104E+00   -0.14946049E-01   -0.42962078E-02
    0.62695446E+00   -0.22928104E+00   -0.10820095E-01    0.34306069E-02
   -0.55308767E+00    0.58746133E-01    0.26132829E-01   -0.18224500E-02
    0.24183057E+00    0.43684508E-01   -0.25267198E-01   -0.17427856E-03
   -0.17573051E-01   -0.72456028E-01    0.11715101E-01    0.18871751E-02
PRODUCT     SPC300 + SPC9       
    0.20735061E+01   -0.11788025E+01   -0.24202654E-01   -0.22824617E-02
   -0.92402048E+01   -0.58236480E+00    0.38774746E-01    0.45464685E-02
    0.10213113E+01    0.42539765E+00   -0.14956958E-01   -0.42952126E-02
    0.53823745E+00   -0.22936549E+00   -0.10797971E-01    0.34330234E-02
   -0.51899127E+00    0.58902014E-01    0.26111948E-01   -0.18272245E-02
    0.22700592E+00    0.43541953E-01   -0.25261348E-01   -0.16968996E-03
   -0.11715765E-01   -0.72391527E-01    0.11730662E-01    0.18854751E-02
PRODUCT     SPC298 + SPC6       
   -0.82355236E+01   -0.11685071E+01   -0.24623894E-01   -0.24485436E-02
   -0.10037249E+02   -0.59821420E+00    0.38977646E-01    0.47940111E-02
    0.72699527E+00    0.42961590E+00   -0.13726852E-01   -0.43135713E-02
    0.64288945E+00   -0.22129107E+00   -0.13149150E-01    0.31624195E-02
   -0.56958553E+00    0.44074738E-01    0.28335410E-01   -0.13526238E-02
    0.25039812E+00    0.56878649E-01   -0.25979728E-01   -0.62313594E-03
   -0.26157478E-01   -0.78013735E-01    0.10308996E-01    0.20679673E-02
PRODUCT     SPC306 + SPC6       
   -0.71394677E+01   -0.11705104E+01   -0.24541497E-01   -0.24158638E-02
   -0.96578265E+01   -0.59514205E+00    0.38938970E-01    0.47459195E-02
    0.73896069E+00    0.42883207E+00   -0.13970005E-01   -0.43122155E-02
    0.64135920E+00   -0.22291418E+00   -0.12687399E-01    0.32197149E-02
   -0.56649381E+00    0.46998417E-01    0.27902172E-01   -0.14504172E-02
    0.24852717E+00    0.54286440E-01   -0.25844687E-01   -0.53205646E-03
   -0.24587207E-01   -0.76973149E-01    0.10593321E-01    0.20355159E-02
PRODUCT     SPC307 + SPC4       
    0.21406531E+01   -0.11787163E+01   -0.24206592E-01   -0.22842680E-02
   -0.92089755E+01   -0.58249821E+00    0.38777227E-01    0.45492152E-02
    0.10109081E+01    0.42543501E+00   -0.14947275E-01   -0.42956763E-02
    0.54209929E+00   -0.22930044E+00   -0.10817369E-01    0.34307351E-02
   -0.52082033E+00    0.58779029E-01    0.26130630E-01   -0.18230931E-02
    0.22792550E+00    0.43655540E-01   -0.25267524E-01   -0.17359798E-03
   -0.11783564E-01   -0.72443882E-01    0.11718591E-01    0.18870238E-02
PRODUCT     SPC299 + SPC6       
   -0.82355236E+01   -0.11685071E+01   -0.24623894E-01   -0.24485436E-02
   -0.10037249E+02   -0.59821420E+00    0.38977646E-01    0.47940111E-02
    0.72699527E+00    0.42961590E+00   -0.13726852E-01   -0.43135713E-02
    0.64288945E+00   -0.22129107E+00   -0.13149150E-01    0.31624195E-02
   -0.56958553E+00    0.44074738E-01    0.28335410E-01   -0.13526238E-02
    0.25039812E+00    0.56878649E-01   -0.25979728E-01   -0.62313594E-03
   -0.26157478E-01   -0.78013735E-01    0.10308996E-01    0.20679673E-02
PRODUCT     SPC304 + SPC6       
   -0.81679349E+01   -0.11686272E+01   -0.24619424E-01   -0.24464650E-02
   -0.10096895E+02   -0.59802980E+00    0.38975907E-01    0.47910378E-02
    0.74877287E+00    0.42956864E+00   -0.13741272E-01   -0.43136972E-02
    0.63519125E+00   -0.22138853E+00   -0.13122063E-01    0.31662104E-02
   -0.56717154E+00    0.44250868E-01    0.28309835E-01   -0.13586970E-02
    0.24830176E+00    0.56722181E-01   -0.25971499E-01   -0.61776474E-03
   -0.25916930E-01   -0.77951201E-01    0.10325623E-01    0.20662948E-02
PRODUCT     SPC196 + SPC13      
    0.19867971E+01   -0.11776485E+01   -0.24250626E-01   -0.23010874E-02
   -0.92201291E+01   -0.58414962E+00    0.38799375E-01    0.45746057E-02
    0.96434119E+00    0.42589625E+00   -0.14821243E-01   -0.42986666E-02
    0.55768466E+00   -0.22849682E+00   -0.11060630E-01    0.34052740E-02
   -0.52840321E+00    0.57267253E-01    0.26363161E-01   -0.17769764E-02
    0.23137702E+00    0.45038576E-01   -0.25346376E-01   -0.21906061E-03
   -0.13409662E-01   -0.73059138E-01    0.11575853E-01    0.19078557E-02
PRODUCT     SPC305 + SPC3       
    0.20675356E+01   -0.11787437E+01   -0.24205170E-01   -0.22837043E-02
   -0.92120648E+01   -0.58245611E+00    0.38776149E-01    0.45483422E-02
    0.10112899E+01    0.42542397E+00   -0.14950175E-01   -0.42954895E-02
    0.54118105E+00   -0.22932224E+00   -0.10811281E-01    0.34314084E-02
   -0.52049881E+00    0.58818903E-01    0.26124702E-01   -0.18243802E-02
    0.22791145E+00    0.43619572E-01   -0.25265491E-01   -0.17233867E-03
   -0.11734221E-01   -0.72428440E-01    0.11722219E-01    0.18864984E-02
END
