OUTPUT for PDEP NETWORK via CHEMDIS-RMG (Chebyshev-polynomial format)
DISSOC case, input well      SPC727              
Temperature range
   300.0   500.0
Pressure range
     1.0     6.0
PRODUCT     SPC578 + SPC17      
   -0.21597335E+02    0.45027280E-02   -0.94364098E-03    0.12956280E-03
   -0.89726401E+01   -0.43858631E-02    0.89965043E-03   -0.11813998E-03
   -0.47591163E-02    0.16136295E-02   -0.31964068E-03    0.38834635E-04
    0.97031744E-03   -0.50688094E-03    0.95202397E-04   -0.10134709E-04
   -0.31984000E-03    0.14589241E-03   -0.25351508E-04    0.21306772E-05
   -0.72078352E-03   -0.47238543E-04    0.78042896E-05   -0.55037897E-06
   -0.76850356E-04    0.45164758E-05   -0.28064934E-06   -0.11468166E-06
PRODUCT     SPC578 + SPC17      
   -0.21393062E+02    0.37079551E-02   -0.77808439E-03    0.10710773E-03
   -0.89171570E+01   -0.37785719E-02    0.77792343E-03   -0.10295976E-03
    0.29535764E-02    0.14316840E-02   -0.28556924E-03    0.35254754E-04
    0.13868448E-03   -0.45858168E-03    0.87139015E-04   -0.95668752E-05
   -0.18194591E-03    0.13262666E-03   -0.23459683E-04    0.20946313E-05
   -0.38936750E-03   -0.39368917E-04    0.65019341E-05   -0.45536940E-06
   -0.12560069E-03    0.35907231E-05   -0.18802486E-06   -0.10538840E-06
PRODUCT     SPC283              
   -0.22492460E+02    0.45863202E-02   -0.96003362E-03    0.13150274E-03
   -0.90418976E+01   -0.45303270E-02    0.92804573E-03   -0.12152674E-03
    0.78942256E-03    0.16801113E-02   -0.33223191E-03    0.40203742E-04
    0.44881631E-03   -0.52875112E-03    0.99047037E-04   -0.10469142E-04
   -0.39509054E-03    0.15082550E-03   -0.26081751E-04    0.21544446E-05
   -0.92059962E-03   -0.47795470E-04    0.78649194E-05   -0.54720917E-06
   -0.35226240E-03   -0.10088839E-05    0.85267640E-06   -0.26131185E-06
PRODUCT     SPC243              
   -0.12446551E+02    0.22315165E-04   -0.47892309E-05    0.66879379E-06
   -0.65366895E+01   -0.34917440E-04    0.75363828E-05   -0.11076956E-05
    0.67366990E-02    0.19979748E-04   -0.42960401E-05    0.62065618E-06
   -0.56106754E-03   -0.92826391E-05    0.19889388E-05   -0.28534879E-06
    0.49958971E-04    0.37058287E-05   -0.78981194E-06    0.11212049E-06
   -0.39183820E-05   -0.13159871E-05    0.27829871E-06   -0.38895628E-07
    0.68667017E-07    0.42501082E-06   -0.88882249E-07    0.12143701E-07
PRODUCT     SPC582 + SPC17      
   -0.12485955E+02    0.43896843E-04   -0.94356528E-05    0.13417089E-05
   -0.67143989E+01   -0.65340917E-04    0.14073957E-04   -0.20513255E-05
    0.15034543E-02    0.35454316E-04   -0.76073567E-05    0.10944851E-05
   -0.97298938E-04   -0.15691647E-04    0.33510390E-05   -0.47761898E-06
    0.30093982E-04    0.59967824E-05   -0.12715698E-05    0.17867738E-06
   -0.33174529E-05   -0.20463188E-05    0.42942446E-06   -0.59086394E-07
   -0.44245453E-06    0.63671322E-06   -0.13163862E-06    0.17562489E-07
PRODUCT     SPC823              
   -0.20979156E+02    0.33569499E-02   -0.70605355E-03    0.97639979E-04
   -0.88207033E+01   -0.33933387E-02    0.70087285E-03   -0.93392584E-04
   -0.16639857E-02    0.12858969E-02   -0.25775642E-03    0.32175436E-04
    0.54539485E-03   -0.41450305E-03    0.79400396E-04   -0.88980052E-05
   -0.12128112E-03    0.12083002E-03   -0.21663281E-04    0.20191832E-05
   -0.29533454E-03   -0.35066737E-04    0.58632167E-05   -0.43124658E-06
   -0.14329404E-03    0.30647638E-05   -0.16073332E-06   -0.90826993E-07
PRODUCT     SPC161              
   -0.22320910E+02    0.39508625E-02   -0.82897002E-03    0.11408901E-03
   -0.89415472E+01   -0.39522390E-02    0.81295785E-03   -0.10739320E-03
    0.27520901E-02    0.14851155E-02   -0.29571368E-03    0.36362258E-04
    0.23564369E-03   -0.47276573E-03    0.89555082E-04   -0.97525371E-05
   -0.18798870E-03    0.13661747E-03   -0.24051571E-04    0.21143525E-05
   -0.46875592E-03   -0.41064320E-04    0.67603712E-05   -0.46783141E-06
   -0.17572331E-03    0.32440686E-05   -0.73233449E-07   -0.13044782E-06
END
