 A [L/mol-s] =  0.12513E+013
 n =       1.1531
 Ea [kcal/mol] =        0.000
 
 Temp     k           kfit
 1000.0   0.496E+16   0.360E+16
 1100.0   0.500E+16   0.402E+16
 1200.0   0.512E+16   0.445E+16
 1300.0   0.528E+16   0.487E+16
 1400.0   0.549E+16   0.531E+16
 1500.0   0.573E+16   0.575E+16
 1600.0   0.600E+16   0.619E+16
 1700.0   0.629E+16   0.664E+16
 1800.0   0.660E+16   0.709E+16
 1900.0   0.694E+16   0.755E+16
 2000.0   0.730E+16   0.801E+16
 2100.0   0.767E+16   0.847E+16
 2200.0   0.806E+16   0.894E+16
 2300.0   0.847E+16   0.941E+16
 2400.0   0.889E+16   0.989E+16
 2500.0   0.933E+16   0.104E+17
 2600.0   0.979E+16   0.108E+17
 2700.0   0.103E+17   0.113E+17
 2800.0   0.107E+17   0.118E+17
 2900.0   0.112E+17   0.123E+17
 3000.0   0.118E+17   0.128E+17
 3100.0   0.123E+17   0.133E+17
 3200.0   0.128E+17   0.138E+17
 3300.0   0.134E+17   0.143E+17
 3400.0   0.140E+17   0.148E+17
 3500.0   0.146E+17   0.153E+17
 3600.0   0.152E+17   0.158E+17
 3700.0   0.158E+17   0.163E+17
 3800.0   0.164E+17   0.168E+17
 3900.0   0.170E+17   0.173E+17
 4000.0   0.177E+17   0.178E+17
 4100.0   0.184E+17   0.183E+17
 4200.0   0.191E+17   0.188E+17
 4300.0   0.198E+17   0.194E+17
 4400.0   0.205E+17   0.199E+17
 4500.0   0.212E+17   0.204E+17
 4600.0   0.219E+17   0.209E+17
 4700.0   0.227E+17   0.215E+17
 4800.0   0.235E+17   0.220E+17
 4900.0   0.242E+17   0.225E+17
 5000.0   0.250E+17   0.230E+17
 5100.0   0.258E+17   0.236E+17
 5200.0   0.267E+17   0.241E+17
 5300.0   0.275E+17   0.246E+17
 5400.0   0.283E+17   0.252E+17
 5500.0   0.292E+17   0.257E+17
